iter	Passed	Remaining
0	100	100140
1	101	50678
2	102	34110
3	103	25884
4	106	21162
5	107	17887
6	109	15511
7	110	13683
8	111	12288
9	112	11146
10	113	10247
11	115	9487
12	116	8843
13	117	8284
14	119	7836
15	120	7413
16	121	7029
17	123	6712
18	124	6416
19	125	6138
20	126	5885
21	127	5656
22	128	5455
23	129	5273
24	131	5131
25	133	4986
26	134	4839
27	135	4704
28	136	4578
29	137	4461
30	139	4349
31	140	4246
32	141	4144
33	142	4055
34	144	3984
35	146	3912
36	147	3837
37	148	3764
38	149	3693
39	151	3626
40	152	3563
41	153	3504
42	155	3457
43	156	3411
44	158	3364
45	159	3310
46	161	3266
47	162	3219
48	163	3175
49	164	3127
50	165	3081
51	167	3050
52	169	3028
53	170	2993
54	172	2958
55	173	2929
56	175	2905
57	177	2881
58	179	2856
59	180	2822
60	181	2787
61	182	2766
62	184	2741
63	186	2722
64	187	2696
65	188	2667
66	189	2638
67	190	2611
68	191	2584
69	192	2557
70	195	2555
71	196	2533
72	197	2513
73	199	2492
74	200	2471
75	201	2451
76	202	2428
77	203	2405
78	204	2387
79	206	2371
80	208	2360
81	209	2345
82	210	2321
83	211	2302
84	212	2283
85	213	2267
86	214	2252
87	215	2237
88	216	2219
89	218	2207
90	220	2199
91	221	2183
92	222	2169
93	223	2156
94	224	2140
95	225	2126
96	226	2111
97	227	2096
98	228	2081
99	229	2067
100	231	2062
101	232	2050
102	234	2039
103	235	2025
104	236	2012
105	237	1998
106	238	1990
107	239	1979
108	240	1967
109	241	1957
110	243	1952
111	245	1943
112	246	1936
113	248	1927
114	249	1920
115	250	1912
116	251	1900
117	253	1892
118	254	1883
119	257	1885
120	258	1875
121	259	1863
122	260	1856
123	261	1847
124	262	1840
125	264	1831
126	264	1820
127	265	1811
128	267	1804
129	269	1802
130	270	1796
131	272	1789
132	273	1780
133	274	1773
134	275	1765
135	276	1758
136	277	1750
137	279	1743
138	280	1738
139	282	1736
140	283	1729
141	284	1720
142	286	1714
143	287	1708
144	288	1701
145	289	1695
146	290	1687
147	292	1681
148	294	1683
149	295	1676
150	297	1670
151	298	1665
152	299	1658
153	300	1650
154	301	1644
155	302	1637
156	303	1631
157	305	1626
158	306	1623
159	308	1619
160	309	1611
161	310	1604
162	311	1598
163	312	1592
164	313	1586
165	314	1580
166	315	1573
167	316	1567
168	318	1564
169	319	1561
170	321	1559
171	323	1555
172	324	1551
173	325	1545
174	326	1539
175	327	1533
176	328	1527
177	330	1524
178	331	1520
179	332	1515
180	333	1510
181	334	1504
182	336	1500
183	337	1495
184	338	1489
185	339	1484
186	340	1479
187	341	1475
188	343	1474
189	344	1469
190	345	1464
191	346	1458
192	347	1454
193	349	1450
194	350	1445
195	351	1440
196	352	1435
197	353	1430
198	355	1429
199	356	1424
200	357	1420
201	358	1415
202	359	1411
203	360	1406
204	361	1402
205	362	1398
206	364	1394
207	365	1390
208	367	1392
209	369	1390
210	371	1388
211	372	1385
212	374	1382
213	375	1380
214	377	1376
215	378	1374
216	380	1372
217	381	1368
218	382	1365
219	384	1363
220	386	1362
221	388	1360
222	389	1358
223	392	1358
224	393	1356
225	395	1353
226	407	1389
227	409	1386
228	410	1383
229	412	1381
230	414	1378
231	415	1377
232	417	1375
233	419	1373
234	421	1371
235	422	1368
236	423	1364
237	425	1360
238	426	1356
239	427	1353
240	428	1349
241	429	1344
242	431	1344
243	432	1341
244	434	1337
245	435	1333
246	436	1330
247	437	1328
248	439	1325
249	441	1323
250	442	1320
251	444	1318
252	446	1316
253	447	1313
254	449	1311
255	450	1310
256	452	1307
257	453	1304
258	455	1302
259	457	1301
260	458	1299
261	460	1297
262	462	1295
263	464	1294
264	466	1293
265	469	1294
266	471	1293
267	472	1291
268	474	1289
269	476	1287
270	477	1285
271	479	1283
272	481	1281
273	482	1279
274	484	1277
275	486	1275
276	487	1272
277	488	1269
278	490	1266
279	492	1266
280	494	1264
281	495	1261
282	496	1258
283	498	1256
284	499	1253
285	500	1250
286	502	1247
287	503	1244
288	507	1247
289	508	1244
290	509	1241
291	510	1238
292	512	1236
293	514	1234
294	515	1231
295	516	1228
296	518	1227
297	520	1226
298	522	1224
299	523	1221
300	524	1218
301	526	1216
302	527	1213
303	528	1210
304	530	1209
305	532	1207
306	533	1204
307	534	1201
308	536	1199
309	537	1196
310	538	1193
311	540	1190
312	541	1187
313	544	1189
314	546	1188
315	547	1186
316	549	1183
317	550	1181
318	551	1178
319	552	1174
320	553	1171
321	556	1170
322	557	1169
323	559	1167
324	561	1165
325	562	1163
326	564	1160
327	565	1158
328	566	1156
329	568	1154
330	570	1153
331	572	1151
332	573	1149
333	575	1147
334	577	1145
335	578	1143
336	580	1142
337	582	1140
338	584	1139
339	585	1136
340	586	1134
341	587	1131
342	589	1128
343	590	1126
344	592	1124
345	594	1123
346	596	1121
347	597	1119
348	598	1116
349	599	1113
350	601	1111
351	601	1108
352	602	1105
353	604	1103
354	606	1101
355	607	1099
356	608	1096
357	610	1093
358	611	1091
359	612	1088
360	613	1086
361	614	1083
362	616	1081
363	618	1081
364	620	1078
365	621	1075
366	622	1073
367	623	1070
368	624	1068
369	625	1065
370	626	1062
371	628	1060
372	629	1058
373	631	1056
374	632	1054
375	633	1051
376	634	1049
377	636	1046
378	637	1043
379	638	1041
380	639	1039
381	640	1036
382	642	1035
383	644	1033
384	645	1030
385	647	1030
386	648	1027
387	649	1025
388	650	1022
389	652	1020
390	653	1017
391	656	1018
392	657	1015
393	658	1013
394	660	1011
395	661	1008
396	662	1006
397	663	1004
398	664	1001
399	666	999
400	668	998
401	669	996
402	670	993
403	672	991
404	673	989
405	674	987
406	675	984
407	676	982
408	678	980
409	679	977
410	681	977
411	682	974
412	684	972
413	685	970
414	686	967
415	687	964
416	688	962
417	689	959
418	690	957
419	691	954
420	693	953
421	694	951
422	695	949
423	696	946
424	698	944
425	699	942
426	700	939
427	701	936
428	702	934
429	703	932
430	704	930
431	705	928
432	707	925
433	708	923
434	709	921
435	710	919
436	711	917
437	713	915
438	714	912
439	715	910
440	717	909
441	719	907
442	720	906
443	722	904
444	723	902
445	725	900
446	726	898
447	727	896
448	728	894
449	730	893
450	732	891
451	733	889
452	734	887
453	735	884
454	736	882
455	737	880
456	739	878
457	740	876
458	742	875
459	744	873
460	745	871
461	746	869
462	747	867
463	749	865
464	750	863
465	751	861
466	753	859
467	755	858
468	756	856
469	757	854
470	759	852
471	760	850
472	761	848
473	762	846
474	763	844
475	765	842
476	766	839
477	768	839
478	769	837
479	770	835
480	772	833
481	773	831
482	774	828
483	775	826
484	776	824
485	777	822
486	778	820
487	780	819
488	781	816
489	783	814
490	784	813
491	786	811
492	787	809
493	788	807
494	789	805
495	791	803
496	793	802
497	794	800
498	795	798
499	797	797
500	798	794
501	799	792
502	800	790
503	801	788
504	802	786
505	804	785
506	805	783
507	806	781
508	808	779
509	809	777
510	810	775
511	811	773
512	812	771
513	814	770
514	816	768
515	817	766
516	818	764
517	820	763
518	821	761
519	822	758
520	823	756
521	824	754
522	825	752
523	827	751
524	828	750
525	830	748
526	831	746
527	832	744
528	833	742
529	834	740
530	835	738
531	837	736
532	838	735
